2020abca,Canadian Rockies Regional
2020miwoo,FIM District Woodhaven Event
2020mndu,Lake Superior Regional
2020mndu2,Northern Lights Regional
2020mnmi,Minnesota 10,000 Lakes Regional Presented by the Medtronic Foundation
2020mnmi2,Minnesota North Star Regional
2020mnwcw,West Central Week 0
2020mokc,Greater Kansas City Regional
2020mokc3,Central Missouri Regional
2020mosl,St. Louis Regional
2020mrcmp,FIRST Mid-Atlantic District Championship
2020mxmo,Regional Monterrey
2020mxto,Regional Laguna
2020ncash,FNC District UNC Asheville Event
2020nccmp,FIRST North Carolina State Championship
2020ncgre,FNC District ECU Event
2020ncgui,FNC District Guilford County Event
2020ncpem,FNC District UNC Pembroke Event
2020ncwak,FNC District Wake County Event
2020ndgf,Great Northern Regional
2020necmp,New England District Championship
2020nhgrs,NE District Granite State Event
2020nhsnh,NE District Southern NH Event
2020njbri,FMA District Bridgewater-Raritan Event
2020njfla,***CANCELLED*** FMA District Mount Olive Event
2020njrob,FMA District Robbinsville Event
2020njski,FMA District Montgomery Event
2020njtab,FMA District Seneca Event
2020nvlv,Las Vegas Regional
2020nyli,***POSTPONED*** SBPLI Long Island Regional #1 - see Site Info document
2020nyli2,***POSTPONED*** SBPLI Long Island Regional #2 - See Site Info Document
2020nyny,New York City Regional
2020nyro,Finger Lakes Regional
2020nyrra,Rochester Rally
2020nysu,Hudson Valley Regional
2020nytr,***POSTPONED*** New York Tech Valley Regional - see Site Info document
2020nyut,***POSTPONED*** Central New York Regional - see Site Info document
2020ohcl,Buckeye Regional
2020ohmv,Miami Valley Regional
2020okok,Oklahoma Regional
2020oktu,Green Country Regional
2020onbar,ONT District Georgian College Event
2020oncmp,FIRST Ontario Provincial Championship
2020onham,ONT District McMaster University Event
2020onlon,ONT District Western University, Western Engineering Event
2020onnob,ONT District North Bay Event
2020onnyo,ONT District York University Event
2020onosh,ONT District Durham College Event
2020onott,ONT District Carleton University Event
2020onto1,ONT District Ryerson University Event
2020onto3,ONT District Humber College Event
2020onwat,ONT District University of Waterloo Event
2020onwin,ONT District Windsor Essex Great Lakes Event
2020orore,PNW District Clackamas Academy Event
2020orsal,***POSTPONED*** PNW District Oregon State Fairgrounds Event - See Site Info Docu
2020orwil,***POSTPONED*** PNW District Wilsonville Event - See Site Info Document
2020paben,FMA District Bensalem Event
2020paca,Greater Pittsburgh Regional
2020pahat,FMA District Hatboro-Horsham Event
2020paphi,***CANCELLED*** FMA District Springside Chestnut Hill Academy Event
2020pncmp,***POSTPONED*** Pacific Northwest FIRST District Championship - See Site Info Do
2020qcmo,Festival de Robotique a Montreal Regional
2020qcsh,Festival de Robotique a Sherbrooke Regional
2020scmb,Palmetto Regional
2020srrc,Seven Rivers Robotics Coalition Week Zero
2020tnkn,Smoky Mountains Regional
2020tnme,Memphis Regional
2020tuis,Istanbul Regional
2020tuis2,Bosphorus Regional
2020txama,FIT District Amarillo Event
2020txaus,FIT District Austin Event
2020txcha,FIT District Channelview Event
2020txdel,FIT District Del Rio Event
2020txdls,FIT District Dallas Event
2020txdri,FIT District Dripping Springs Event
2020txelp,FIT District El Paso Event
2020txfor,FIT District Fort Worth Event
2020txgre,FIT District Greenville Event
2020txhou,FIT District Houston Event
2020txnew,FIT District New Braunfels Event
2020txpas,FIT District Pasadena Event
2020txpla,FIT District Plano Event
2020utwv,Utah Regional
2020vabla,CHS District Blacksburg VA Event
2020vagle,CHS District Richmond VA Event sponsored by Dominion Energy
2020vahay,CHS District Haymarket VA Event
2020vapor,CHS District Portsmouth VA Event
2020waahs,***CANCELLED*** PNW District Auburn Event - See Site Info Document
2020waamv,***CANCELLED*** PNW District Auburn Mountainview Event
2020wabel,***POSTPONED*** PNW District Bellingham Event - See Site Info Document
2020wasno,PNW District Glacier Peak Event
2020waspo,PNW District West Valley Event
2020wayak,***POSTPONED*** PNW District SunDome Event - See Site Info Document
2020week0,Week 0
2020wila,Seven Rivers Regional
2020wimi,Wisconsin Regional
2020wiss,Sussex Mini-Regional
